threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives
0.52,0.8074534161490683,0.6164795079035834,0.3620689655172414,0.34146341463414637,0.3514644351464435,0.34539473684210525,0.7200724793171684,0.33436915971887254,608,74,81,42
0.53,0.8074534161490683,0.6064837994421,0.35454545454545455,0.3170731707317073,0.33476394849785407,0.3239202657807309,0.7200724793171684,0.33436915971887254,611,71,84,39
0.54,0.808695652173913,0.6005531316310231,0.3523809523809524,0.3008130081300813,0.32456140350877194,0.3098827470686767,0.7200724793171684,0.33436915971887254,614,68,86,37
0.55,0.8124223602484472,0.5994206423002646,0.36,0.2926829268292683,0.32286995515695066,0.30405405405405406,0.7200724793171684,0.33436915971887254,618,64,87,36
0.56,0.8124223602484472,0.5994206423002646,0.36,0.2926829268292683,0.32286995515695066,0.30405405405405406,0.7200724793171684,0.33436915971887254,618,64,87,36
0.58,0.8211180124223603,0.6012207042891543,0.38461538461538464,0.2845528455284553,0.32710280373831774,0.30017152658662094,0.7200724793171684,0.33436915971887254,626,56,88,35
0.57,0.8161490683229814,0.5982881529695062,0.3684210526315789,0.2845528455284553,0.3211009174311927,0.2981260647359455,0.7200724793171684,0.33436915971887254,622,60,88,35
0.59,0.8260869565217391,0.5974894499678134,0.39759036144578314,0.2682926829268293,0.32038834951456313,0.28695652173913044,0.7200724793171684,0.33436915971887254,632,50,90,33
0.62,0.8360248447204969,0.5966907469661207,0.43661971830985913,0.25203252032520324,0.31958762886597936,0.2753108348134991,0.7200724793171684,0.33436915971887254,642,40,92,31
0.61,0.8322981366459627,0.5944913334763846,0.4189189189189189,0.25203252032520324,0.3147208121827411,0.27385159010600707,0.7200724793171684,0.33436915971887254,639,43,92,31
0.6,0.8285714285714286,0.5922919199866485,0.4025974025974026,0.25203252032520324,0.31,0.27240773286467485,0.7200724793171684,0.33436915971887254,636,46,92,31
0.63,0.8397515527950311,0.5922263548148679,0.453125,0.23577235772357724,0.31016042780748665,0.2607913669064748,0.7200724793171684,0.33436915971887254,647,35,94,29
0.64,0.8397515527950311,0.5855625491738788,0.45,0.21951219512195122,0.29508196721311475,0.24456521739130435,0.7200724793171684,0.33436915971887254,649,33,96,27
0.65,0.8422360248447205,0.5803650191927139,0.46296296296296297,0.2032520325203252,0.2824858757062147,0.22893772893772893,0.7200724793171684,0.33436915971887254,653,29,98,25
0.66,0.8434782608695652,0.574434351381637,0.46938775510204084,0.18699186991869918,0.26744186046511625,0.21256931608133087,0.7200724793171684,0.33436915971887254,656,26,100,23
0.67,0.8422360248447205,0.567037407910736,0.45652173913043476,0.17073170731707318,0.2485207100591716,0.19516728624535315,0.7200724793171684,0.33436915971887254,657,25,102,21
0.68,0.8434782608695652,0.5644386429201536,0.46511627906976744,0.16260162601626016,0.24096385542168675,0.18691588785046728,0.7200724793171684,0.33436915971887254,659,23,103,20
0.7,0.8496894409937888,0.5614405264287247,0.5294117647058824,0.14634146341463414,0.22929936305732485,0.17110266159695817,0.7200724793171684,0.33436915971887254,666,16,105,18
0.69,0.8459627329192546,0.5592411129389886,0.4864864864864865,0.14634146341463414,0.225,0.17013232514177692,0.7200724793171684,0.33436915971887254,663,19,105,18
0.72,0.8484472049689441,0.5440478744963403,0.52,0.10569105691056911,0.17567567567567569,0.12572533849129594,0.7200724793171684,0.33436915971887254,670,12,110,13
0.71,0.8459627329192546,0.5425815988365162,0.48148148148148145,0.10569105691056911,0.17333333333333334,0.1252408477842004,0.7200724793171684,0.33436915971887254,668,14,110,13
0.73,0.8459627329192546,0.5359177931955272,0.4782608695652174,0.08943089430894309,0.1506849315068493,0.10679611650485436,0.7200724793171684,0.33436915971887254,670,12,112,11
0.74,0.8434782608695652,0.5244558090742197,0.42105263157894735,0.06504065040650407,0.11267605633802817,0.07827788649706457,0.7200724793171684,0.33436915971887254,671,11,115,8
0.78,0.8459627329192546,0.5225901819135493,0.4666666666666667,0.056910569105691054,0.10144927536231885,0.06903353057199212,0.7200724793171684,0.33436915971887254,674,8,116,7
0.76,0.84472049689441,0.5218570440836373,0.4375,0.056910569105691054,0.10071942446043165,0.0688976377952756,0.7200724793171684,0.33436915971887254,673,9,116,7
0.77,0.84472049689441,0.5218570440836373,0.4375,0.056910569105691054,0.10071942446043165,0.0688976377952756,0.7200724793171684,0.33436915971887254,673,9,116,7
0.75,0.8434782608695652,0.5211239062537253,0.4117647058823529,0.056910569105691054,0.1,0.068762278978389,0.7200724793171684,0.33436915971887254,672,10,116,7
0.81,0.8484472049689441,0.5207245547528789,0.5454545454545454,0.04878048780487805,0.08955223880597014,0.05964214711729622,0.7200724793171684,0.33436915971887254,677,5,117,6
0.82,0.8484472049689441,0.5207245547528789,0.5454545454545454,0.04878048780487805,0.08955223880597014,0.05964214711729622,0.7200724793171684,0.33436915971887254,677,5,117,6
