threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,brier_score,clinical_utility,true_negatives,false_positives,false_negatives,true_positives
0.15,0.5957446808510638,0.5287303192257692,0.5863013698630137,0.9953488372093023,0.7379310344827587,0.8734693877551021,0.7422793586595406,0.7620672042414207,0.20194314109999173,911.0,10,151,1,214
0.17,0.6037234042553191,0.5388270980788675,0.5916666666666667,0.9906976744186047,0.7408695652173913,0.8729508196721312,0.7422793586595406,0.7620672042414207,0.20194314109999173,902.0,14,147,2,213
0.11,0.5824468085106383,0.5124223602484472,0.5779569892473119,1.0,0.7325383304940375,0.872564935064935,0.7422793586595406,0.7620672042414207,0.20194314109999173,918.0,4,157,0,215
0.16,0.601063829787234,0.5357215080167558,0.590027700831025,0.9906976744186047,0.7395833333333334,0.8722358722358723,0.7422793586595406,0.7620672042414207,0.20194314109999173,901.0,13,148,2,213
0.09,0.5797872340425532,0.5093167701863354,0.5764075067024129,1.0,0.7312925170068028,0.8718572587185726,0.7422793586595406,0.7620672042414207,0.20194314109999173,917.0,3,158,0,215
0.1,0.5797872340425532,0.5093167701863354,0.5764075067024129,1.0,0.7312925170068028,0.8718572587185726,0.7422793586595406,0.7620672042414207,0.20194314109999173,917.0,3,158,0,215
0.07,0.5771276595744681,0.5062111801242236,0.5748663101604278,1.0,0.7300509337860781,0.8711507293354943,0.7422793586595406,0.7620672042414207,0.20194314109999173,916.0,2,159,0,215
0.08,0.5771276595744681,0.5062111801242236,0.5748663101604278,1.0,0.7300509337860781,0.8711507293354943,0.7422793586595406,0.7620672042414207,0.20194314109999173,916.0,2,159,0,215
0.06,0.574468085106383,0.5031055900621118,0.5733333333333334,1.0,0.7288135593220338,0.8704453441295547,0.7422793586595406,0.7620672042414207,0.20194314109999173,915.0,1,160,0,215
0.05,0.5718085106382979,0.5,0.5718085106382979,1.0,0.727580372250423,0.8697411003236246,0.7422793586595406,0.7620672042414207,0.20194314109999173,914.0,0,161,0,215
0.33,0.7047872340425532,0.6661996244402715,0.674496644295302,0.9348837209302325,0.783625730994152,0.8678756476683938,0.7422793586595406,0.7620672042414207,0.20194314109999173,796.0,64,97,14,201
0.34,0.7074468085106383,0.6716452405026723,0.6804123711340206,0.9209302325581395,0.782608695652174,0.8601216333622936,0.7422793586595406,0.7620672042414207,0.20194314109999173,761.0,68,93,17,198
0.36,0.7154255319148937,0.6825220280225336,0.6901408450704225,0.9116279069767442,0.7855711422845691,0.8566433566433567,0.7422793586595406,0.7620672042414207,0.20194314109999173,740.0,73,88,19,196
0.37,0.7180851063829787,0.6864076267514083,0.693950177935943,0.9069767441860465,0.7862903225806451,0.8545135845749343,0.7422793586595406,0.7620672042414207,0.20194314109999173,729.0,75,86,20,195
0.35,0.7074468085106383,0.6732052578361982,0.6829268292682927,0.9116279069767442,0.7808764940239044,0.8544027898866609,0.7422793586595406,0.7620672042414207,0.20194314109999173,737.0,70,91,19,196
0.38,0.7127659574468085,0.6833164812942366,0.6945454545454546,0.8883720930232558,0.7795918367346939,0.8414096916299559,0.7422793586595406,0.7620672042414207,0.20194314109999173,679.0,77,84,24,191
0.39,0.7154255319148937,0.6887620973566373,0.7014925373134329,0.8744186046511628,0.7784679089026915,0.8333333333333334,0.7422793586595406,0.7620672042414207,0.20194314109999173,644.0,81,80,27,188
0.4,0.7127659574468085,0.6887765419615773,0.7049808429118773,0.8558139534883721,0.773109243697479,0.8206958073148974,0.7422793586595406,0.7620672042414207,0.20194314109999173,595.0,84,77,31,184
0.41,0.7180851063829787,0.6957677307525639,0.7120622568093385,0.8511627906976744,0.7754237288135594,0.8191584601611459,0.7422793586595406,0.7620672042414207,0.20194314109999173,585.0,87,74,32,183
0.42,0.7154255319148937,0.6950021666907411,0.7142857142857143,0.8372093023255814,0.7708779443254818,0.8093525179856115,0.7422793586595406,0.7620672042414207,0.20194314109999173,548.0,89,72,35,180
0.43,0.7101063829787234,0.6903510039000433,0.712,0.827906976744186,0.7655913978494624,0.8018018018018018,0.7422793586595406,0.7620672042414207,0.20194314109999173,522.0,89,72,37,178
0.44,0.7047872340425532,0.6880398671096346,0.7148760330578512,0.8046511627906977,0.7571115973741794,0.7849364791288567,0.7422793586595406,0.7620672042414207,0.20194314109999173,460.0,92,69,42,173
0.45,0.6968085106382979,0.681843131590351,0.7130801687763713,0.786046511627907,0.7477876106194691,0.7702825888787602,0.7422793586595406,0.7620672042414207,0.20194314109999173,409.0,93,68,46,169
0.46,0.6941489361702128,0.6810775675285281,0.7155172413793104,0.772093023255814,0.7427293064876958,0.76007326007326,0.7422793586595406,0.7620672042414207,0.20194314109999173,372.0,95,66,49,166
0.47,0.6941489361702128,0.6818575761952911,0.717391304347826,0.7674418604651163,0.7415730337078652,0.7568807339449541,0.7422793586595406,0.7620672042414207,0.20194314109999173,360.0,96,65,50,165
0.48,0.6835106382978723,0.6733352592806587,0.7142857142857143,0.7441860465116279,0.7289293849658315,0.7380073800738007,0.7422793586595406,0.7620672042414207,0.20194314109999173,296.0,97,64,55,160
0.49,0.6728723404255319,0.6648129423660263,0.7110091743119266,0.7209302325581395,0.7159353348729792,0.7189239332096475,0.7422793586595406,0.7620672042414207,0.20194314109999173,232.0,98,63,60,155
0.5,0.6648936170212766,0.6593962155135057,0.7109004739336493,0.6976744186046512,0.704225352112676,0.7002801120448179,0.7422793586595406,0.7620672042414207,0.20194314109999173,169.0,100,61,65,150
0.51,0.6648936170212766,0.6609562328470316,0.714975845410628,0.6883720930232559,0.7014218009478673,0.6935332708528584,0.7422793586595406,0.7620672042414207,0.20194314109999173,145.0,102,59,67,148
0.52,0.6595744680851063,0.6570850787230968,0.7142857142857143,0.6744186046511628,0.69377990430622,0.6820319849482597,0.7422793586595406,0.7620672042414207,0.20194314109999173,107.0,103,58,70,145
0.53,0.6569148936170213,0.6578795319948,0.7216494845360825,0.6511627906976745,0.684596577017115,0.6641366223908919,0.7422793586595406,0.7620672042414207,0.20194314109999173,46.0,107,54,75,140
0.54,0.6595744680851063,0.6625451393904376,0.7301587301587301,0.641860465116279,0.6831683168316832,0.657769304099142,0.7422793586595406,0.7620672042414207,0.20194314109999173,23.0,110,51,77,138
0.55,0.6569148936170213,0.6609995666618518,0.7311827956989247,0.6325581395348837,0.6783042394014963,0.6500956022944551,0.7422793586595406,0.7620672042414207,0.20194314109999173,-2.0,111,50,79,136
0.56,0.6542553191489362,0.6602340026000288,0.7348066298342542,0.6186046511627907,0.6717171717171717,0.6388088376560999,0.7422793586595406,0.7620672042414207,0.20194314109999173,-39.0,113,48,82,133
0.57,0.651595744680851,0.6594684385382059,0.7386363636363636,0.6046511627906976,0.6649616368286445,0.6274131274131274,0.7422793586595406,0.7620672042414207,0.20194314109999173,-76.0,115,46,85,130
0.58,0.651595744680851,0.6610284558717319,0.7441860465116279,0.5953488372093023,0.661498708010336,0.6201550387596899,0.7422793586595406,0.7620672042414207,0.20194314109999173,-100.0,117,44,87,128
0.59,0.6436170212765957,0.6548317203524484,0.7425149700598802,0.5767441860465117,0.6492146596858639,0.6037000973709834,0.7422793586595406,0.7620672042414207,0.20194314109999173,-151.0,118,43,91,124
0.6,0.6409574468085106,0.6532861476238625,0.7439024390243902,0.5674418604651162,0.6437994722955145,0.595703125,0.7422793586595406,0.7620672042414207,0.20194314109999173,-176.0,119,42,93,122
0.61,0.6436170212765957,0.6571717463527372,0.7515527950310559,0.5627906976744186,0.6436170212765957,0.5925563173359452,0.7422793586595406,0.7620672042414207,0.20194314109999173,-187.0,121,40,94,121
0.62,0.6462765957446809,0.661837353748375,0.7628205128205128,0.5534883720930233,0.6415094339622641,0.5856299212598425,0.7422793586595406,0.7620672042414207,0.20194314109999173,-210.0,124,37,96,119
0.63,0.6356382978723404,0.6540950455005056,0.7635135135135135,0.5255813953488372,0.6225895316804407,0.560515873015873,0.7422793586595406,0.7620672042414207,0.20194314109999173,-286.0,126,35,102,113
0.64,0.625,0.6447927199191102,0.7569444444444444,0.5069767441860465,0.6072423398328691,0.5428286852589641,0.7422793586595406,0.7620672042414207,0.20194314109999173,-338.0,126,35,106,109
0.65,0.6170212765957447,0.6385959843998267,0.7553956834532374,0.4883720930232558,0.5932203389830508,0.5255255255255256,0.7422793586595406,0.7620672042414207,0.20194314109999173,-389.0,127,34,110,105
0.66,0.6170212765957447,0.6401560017333525,0.762962962962963,0.4790697674418605,0.5885714285714285,0.5175879396984925,0.7422793586595406,0.7620672042414207,0.20194314109999173,-413.0,129,32,112,103
0.67,0.6170212765957447,0.6409360104001156,0.7669172932330827,0.4744186046511628,0.5862068965517241,0.513595166163142,0.7422793586595406,0.7620672042414207,0.20194314109999173,-425.0,130,31,113,102
0.68,0.6117021276595744,0.6362848476094178,0.7633587786259542,0.46511627906976744,0.5780346820809249,0.5045408678102926,0.7422793586595406,0.7620672042414207,0.20194314109999173,-451.0,130,31,115,100
0.69,0.6090425531914894,0.6355192835475949,0.7698412698412699,0.4511627906976744,0.5689149560117303,0.4918864097363083,0.7422793586595406,0.7620672042414207,0.20194314109999173,-488.0,132,29,118,97
0.7,0.601063829787234,0.6285425393615485,0.7642276422764228,0.4372093023255814,0.5562130177514792,0.47812817904374366,0.7422793586595406,0.7620672042414207,0.20194314109999173,-527.0,132,29,121,94
0.71,0.5957446808510638,0.6246713852376138,0.7647058823529411,0.4232558139534884,0.5449101796407185,0.4647599591419816,0.7422793586595406,0.7620672042414207,0.20194314109999173,-565.0,133,28,124,91
0.72,0.5877659574468085,0.6184746497183302,0.7631578947368421,0.4046511627906977,0.5288753799392097,0.446611909650924,0.7422793586595406,0.7620672042414207,0.20194314109999173,-616.0,134,27,128,87
0.73,0.5771276595744681,0.6099523328036979,0.7592592592592593,0.3813953488372093,0.5077399380804953,0.42355371900826444,0.7422793586595406,0.7620672042414207,0.20194314109999173,-680.0,135,26,133,82
0.74,0.5638297872340425,0.5998844431604796,0.7575757575757576,0.3488372093023256,0.47770700636942676,0.3910323253388947,0.7422793586595406,0.7620672042414207,0.20194314109999173,-769.0,137,24,140,75
0.75,0.5558510638297872,0.5936877076411959,0.7553191489361702,0.3302325581395349,0.459546925566343,0.3721174004192872,0.7422793586595406,0.7620672042414207,0.20194314109999173,-820.0,138,23,144,71
0.76,0.5478723404255319,0.5906110067889643,0.7777777777777778,0.2930232558139535,0.42567567567567566,0.33475026567481403,0.7422793586595406,0.7620672042414207,0.20194314109999173,-919.0,143,18,152,63
0.77,0.5531914893617021,0.5976021955799509,0.8051948051948052,0.28837209302325584,0.4246575342465753,0.33084311632870866,0.7422793586595406,0.7620672042414207,0.20194314109999173,-929.0,146,15,153,62
0.78,0.550531914893617,0.596056622851365,0.8108108108108109,0.27906976744186046,0.41522491349480967,0.32119914346895073,0.7422793586595406,0.7620672042414207,0.20194314109999173,-954.0,147,14,155,60
0.79,0.550531914893617,0.5976166401848909,0.8285714285714286,0.26976744186046514,0.4070175438596491,0.3118279569892473,0.7422793586595406,0.7620672042414207,0.20194314109999173,-978.0,149,12,157,58
0.8,0.5425531914893617,0.5906398959988444,0.8208955223880597,0.2558139534883721,0.3900709219858156,0.296655879180151,0.7422793586595406,0.7620672042414207,0.20194314109999173,-1017.0,149,12,160,55
0.81,0.526595744680851,0.5774664162935144,0.8135593220338984,0.22325581395348837,0.35036496350364965,0.2611534276387378,0.7422793586595406,0.7620672042414207,0.20194314109999173,-1107.0,150,11,167,48
0.82,0.5106382978723404,0.5635129279214214,0.7924528301886793,0.19534883720930232,0.31343283582089554,0.23001095290251916,0.7422793586595406,0.7620672042414207,0.20194314109999173,-1185.0,150,11,173,42
0.83,0.5079787234042553,0.5627473638595984,0.8125,0.1813953488372093,0.2965779467680608,0.21475770925110133,0.7422793586595406,0.7620672042414207,0.20194314109999173,-1222.0,152,9,176,39
0.84,0.5053191489361702,0.5612017911310125,0.8222222222222222,0.17209302325581396,0.2846153846153846,0.20441988950276244,0.7422793586595406,0.7620672042414207,0.20194314109999173,-1247.0,153,8,178,37
0.85,0.4946808510638298,0.5518994655496172,0.8048780487804879,0.15348837209302327,0.2578125,0.18312985571587126,0.7422793586595406,0.7620672042414207,0.20194314109999173,-1299.0,153,8,182,33
0.86,0.48936170212765956,0.5472483027589196,0.7948717948717948,0.14418604651162792,0.2440944881889764,0.1724137931034483,0.7422793586595406,0.7620672042414207,0.20194314109999173,-1325.0,153,8,184,31
0.87,0.48138297872340424,0.541831575906399,0.8125,0.12093023255813953,0.21052631578947367,0.14573991031390135,0.7422793586595406,0.7620672042414207,0.20194314109999173,-1388.0,155,6,189,26
0.88,0.46808510638297873,0.5302036689296548,0.7777777777777778,0.09767441860465116,0.17355371900826447,0.11837655016910936,0.7422793586595406,0.7620672042414207,0.20194314109999173,-1453.0,155,6,194,21
0.89,0.4601063829787234,0.5240069334103713,0.7727272727272727,0.07906976744186046,0.14345991561181434,0.0963718820861678,0.7422793586595406,0.7620672042414207,0.20194314109999173,-1504.0,156,5,198,17
0.9,0.4601063829787234,0.5255669507438971,0.8333333333333334,0.06976744186046512,0.12875536480686695,0.08542141230068337,0.7422793586595406,0.7620672042414207,0.20194314109999173,-1528.0,158,3,200,15
0.91,0.449468085106383,0.5178246424960278,0.9,0.04186046511627907,0.08,0.05172413793103448,0.7422793586595406,0.7620672042414207,0.20194314109999173,-1604.0,160,1,206,9
0.92,0.449468085106383,0.5186046511627906,1.0,0.037209302325581395,0.07174887892376682,0.04608294930875576,0.7422793586595406,0.7620672042414207,0.20194314109999173,-1616.0,161,0,207,8
0.93,0.44148936170212766,0.5116279069767442,1.0,0.023255813953488372,0.045454545454545456,0.028901734104046242,0.7422793586595406,0.7620672042414207,0.20194314109999173,-1655.0,161,0,210,5
0.94,0.43617021276595747,0.5069767441860465,1.0,0.013953488372093023,0.027522935779816515,0.01738122827346466,0.7422793586595406,0.7620672042414207,0.20194314109999173,-1681.0,161,0,212,3
0.95,0.43617021276595747,0.5069767441860465,1.0,0.013953488372093023,0.027522935779816515,0.01738122827346466,0.7422793586595406,0.7620672042414207,0.20194314109999173,-1681.0,161,0,212,3
