feature,coefficient,abs_coefficient
tumor_size_band_medium,0.08282240462490628,0.08282240462490628
integrative_cluster_4ER+,0.08242072850337533,0.08242072850337533
inferred_menopausal_state_Post,-0.08103985774076156,0.08103985774076156
pam50_subtype_NC,-0.08076103299484523,0.08076103299484523
pam50_risk_group_unknown,-0.08076103299484523,0.08076103299484523
receptor_profile_ER_Positive__PR_Negative__HER2_Negative,-0.08052162954892209,0.08052162954892209
sex_Female,-0.08026387718748404,0.08026387718748404
cancer_type_Breast Cancer,-0.08026387718748404,0.08026387718748404
chemotherapy_flag,0.07582045450046217,0.07582045450046217
receptor_profile_ER_Negative__PR_Negative__HER2_Positive,-0.0738996242213612,0.0738996242213612
three_gene_subtype_ER-/HER2-,-0.07366877036863166,0.07366877036863166
radio_therapy_Yes,0.07351211799939132,0.07351211799939132
