sleep_quality_bin,stress_bin,work_hours_bin,duration_bin,count,mean,majority_rate,minority_rate
"(6.2, 6.8]","(0.999, 3.7]","(6.1, 7.4]","(7.27, 7.92]",53,0.660377358490566,0.660377358490566,0.339622641509434
"(3.5, 4.0]","(6.2, 6.6]","(9.7, 11.1]","(5.53, 5.96]",53,0.33962264150943394,0.6603773584905661,0.3396226415094339
"(5.3, 5.7]","(0.999, 3.7]","(-0.001, 2.8]","(6.78, 7.27]",59,0.6610169491525424,0.6610169491525424,0.3389830508474576
"(6.2, 6.8]","(3.7, 4.5]","(4.7, 6.1]","(7.27, 7.92]",123,0.6666666666666666,0.6666666666666666,0.33333333333333337
"(6.2, 6.8]","(4.5, 5.0]","(2.8, 4.7]","(6.78, 7.27]",60,0.6666666666666666,0.6666666666666666,0.33333333333333337
"(5.7, 6.2]","(3.7, 4.5]","(2.8, 4.7]","(7.92, 10.5]",78,0.6666666666666666,0.6666666666666666,0.33333333333333337
"(5.7, 6.2]","(4.5, 5.0]","(6.1, 7.4]","(6.78, 7.27]",69,0.6666666666666666,0.6666666666666666,0.33333333333333337
"(4.0, 4.5]","(5.0, 5.4]","(6.1, 7.4]","(5.53, 5.96]",51,0.3333333333333333,0.6666666666666667,0.33333333333333326
"(5.7, 6.2]","(3.7, 4.5]","(-0.001, 2.8]","(7.92, 10.5]",127,0.6692913385826772,0.6692913385826772,0.3307086614173228
"(6.2, 6.8]","(4.5, 5.0]","(4.7, 6.1]","(7.27, 7.92]",88,0.6704545454545454,0.6704545454545454,0.3295454545454546
"(6.2, 6.8]","(4.5, 5.0]","(-0.001, 2.8]","(7.92, 10.5]",79,0.6708860759493671,0.6708860759493671,0.3291139240506329
"(5.7, 6.2]","(3.7, 4.5]","(4.7, 6.1]","(6.78, 7.27]",61,0.6721311475409836,0.6721311475409836,0.3278688524590164
"(6.2, 6.8]","(5.0, 5.4]","(-0.001, 2.8]","(7.92, 10.5]",61,0.6721311475409836,0.6721311475409836,0.3278688524590164
"(5.7, 6.2]","(4.5, 5.0]","(6.1, 7.4]","(7.92, 10.5]",52,0.6730769230769231,0.6730769230769231,0.32692307692307687
"(4.0, 4.5]","(5.4, 5.8]","(8.5, 9.7]","(5.53, 5.96]",65,0.3230769230769231,0.676923076923077,0.32307692307692304
"(6.2, 6.8]","(3.7, 4.5]","(2.8, 4.7]","(7.27, 7.92]",112,0.6785714285714286,0.6785714285714286,0.3214285714285714
"(5.7, 6.2]","(4.5, 5.0]","(2.8, 4.7]","(7.27, 7.92]",56,0.6785714285714286,0.6785714285714286,0.3214285714285714
"(6.2, 6.8]","(4.5, 5.0]","(2.8, 4.7]","(7.92, 10.5]",81,0.6790123456790124,0.6790123456790124,0.32098765432098764
"(3.5, 4.0]","(5.8, 6.2]","(11.1, 18.0]","(5.53, 5.96]",50,0.32,0.6799999999999999,0.32000000000000006
"(4.5, 4.9]","(5.8, 6.2]","(9.7, 11.1]","(5.53, 5.96]",50,0.32,0.6799999999999999,0.32000000000000006
"(4.0, 4.5]","(5.0, 5.4]","(8.5, 9.7]","(5.53, 5.96]",50,0.32,0.6799999999999999,0.32000000000000006
"(5.3, 5.7]","(3.7, 4.5]","(2.8, 4.7]","(7.92, 10.5]",57,0.6842105263157895,0.6842105263157895,0.3157894736842105
"(6.2, 6.8]","(3.7, 4.5]","(-0.001, 2.8]","(7.92, 10.5]",165,0.6848484848484848,0.6848484848484848,0.3151515151515152
"(4.0, 4.5]","(5.8, 6.2]","(11.1, 18.0]","(5.53, 5.96]",54,0.3148148148148148,0.6851851851851851,0.3148148148148149
"(4.0, 4.5]","(6.2, 6.6]","(9.7, 11.1]","(5.53, 5.96]",51,0.3137254901960784,0.6862745098039216,0.3137254901960784
"(3.5, 4.0]","(6.2, 6.6]","(11.1, 18.0]","(5.53, 5.96]",67,0.31343283582089554,0.6865671641791045,0.31343283582089554
"(6.2, 6.8]","(3.7, 4.5]","(6.1, 7.4]","(6.78, 7.27]",74,0.6891891891891891,0.6891891891891891,0.31081081081081086
"(5.7, 6.2]","(0.999, 3.7]","(-0.001, 2.8]","(7.92, 10.5]",407,0.6904176904176904,0.6904176904176904,0.3095823095823096
"(6.2, 6.8]","(3.7, 4.5]","(7.4, 8.5]","(7.27, 7.92]",65,0.6923076923076923,0.6923076923076923,0.3076923076923077
"(5.7, 6.2]","(0.999, 3.7]","(-0.001, 2.8]","(7.27, 7.92]",163,0.6932515337423313,0.6932515337423313,0.3067484662576687
"(6.2, 6.8]","(0.999, 3.7]","(-0.001, 2.8]","(6.36, 6.78]",62,0.6935483870967742,0.6935483870967742,0.30645161290322576
"(6.2, 6.8]","(4.5, 5.0]","(-0.001, 2.8]","(7.27, 7.92]",72,0.6944444444444444,0.6944444444444444,0.3055555555555556
"(6.2, 6.8]","(4.5, 5.0]","(6.1, 7.4]","(7.27, 7.92]",86,0.6976744186046512,0.6976744186046512,0.3023255813953488
"(5.7, 6.2]","(0.999, 3.7]","(-0.001, 2.8]","(6.78, 7.27]",94,0.7021276595744681,0.7021276595744681,0.2978723404255319
"(4.0, 4.5]","(6.2, 6.6]","(11.1, 18.0]","(5.53, 5.96]",54,0.2962962962962963,0.7037037037037037,0.2962962962962963
"(3.5, 4.0]","(6.6, 7.1]","(8.5, 9.7]","(5.53, 5.96]",59,0.288135593220339,0.711864406779661,0.288135593220339
"(6.2, 6.8]","(4.5, 5.0]","(6.1, 7.4]","(7.92, 10.5]",56,0.7142857142857143,0.7142857142857143,0.2857142857142857
"(5.7, 6.2]","(4.5, 5.0]","(-0.001, 2.8]","(7.92, 10.5]",91,0.7142857142857143,0.7142857142857143,0.2857142857142857
"(6.2, 6.8]","(3.7, 4.5]","(6.1, 7.4]","(7.27, 7.92]",95,0.7157894736842105,0.7157894736842105,0.28421052631578947
"(6.2, 6.8]","(0.999, 3.7]","(-0.001, 2.8]","(6.78, 7.27]",152,0.7236842105263158,0.7236842105263158,0.2763157894736842
"(6.2, 6.8]","(5.0, 5.4]","(6.1, 7.4]","(7.27, 7.92]",58,0.7241379310344828,0.7241379310344828,0.27586206896551724
"(6.2, 6.8]","(0.999, 3.7]","(4.7, 6.1]","(7.27, 7.92]",66,0.7272727272727273,0.7272727272727273,0.2727272727272727
"(6.2, 6.8]","(0.999, 3.7]","(-0.001, 2.8]","(7.92, 10.5]",684,0.72953216374269,0.72953216374269,0.27046783625730997
"(6.8, 10.0]","(0.999, 3.7]","(-0.001, 2.8]","(6.36, 6.78]",67,0.7313432835820896,0.7313432835820896,0.26865671641791045
"(2.9, 3.5]","(6.6, 7.1]","(11.1, 18.0]","(5.53, 5.96]",67,0.26865671641791045,0.7313432835820896,0.26865671641791045
"(6.2, 6.8]","(3.7, 4.5]","(2.8, 4.7]","(7.92, 10.5]",99,0.7373737373737373,0.7373737373737373,0.26262626262626265
"(6.2, 6.8]","(0.999, 3.7]","(2.8, 4.7]","(7.92, 10.5]",145,0.7379310344827587,0.7379310344827587,0.26206896551724135
"(6.2, 6.8]","(0.999, 3.7]","(-0.001, 2.8]","(7.27, 7.92]",306,0.738562091503268,0.738562091503268,0.261437908496732
"(3.5, 4.0]","(6.2, 6.6]","(8.5, 9.7]","(5.53, 5.96]",55,0.2545454545454545,0.7454545454545455,0.2545454545454545
"(5.7, 6.2]","(0.999, 3.7]","(2.8, 4.7]","(7.27, 7.92]",52,0.75,0.75,0.25
"(6.8, 10.0]","(4.5, 5.0]","(2.8, 4.7]","(7.27, 7.92]",69,0.7536231884057971,0.7536231884057971,0.24637681159420288
"(6.8, 10.0]","(4.5, 5.0]","(6.1, 7.4]","(7.27, 7.92]",62,0.7580645161290323,0.7580645161290323,0.24193548387096775
"(3.5, 4.0]","(6.6, 7.1]","(11.1, 18.0]","(5.53, 5.96]",91,0.24175824175824176,0.7582417582417582,0.2417582417582418
"(3.5, 4.0]","(5.4, 5.8]","(4.7, 6.1]","(5.53, 5.96]",50,0.24,0.76,0.24
"(6.8, 10.0]","(3.7, 4.5]","(4.7, 6.1]","(6.78, 7.27]",63,0.7619047619047619,0.7619047619047619,0.23809523809523814
"(4.0, 4.5]","(6.6, 7.1]","(11.1, 18.0]","(5.53, 5.96]",63,0.23809523809523808,0.7619047619047619,0.23809523809523814
"(3.5, 4.0]","(7.1, 7.7]","(11.1, 18.0]","(5.53, 5.96]",59,0.23728813559322035,0.7627118644067796,0.23728813559322037
"(6.8, 10.0]","(0.999, 3.7]","(4.7, 6.1]","(6.78, 7.27]",56,0.7678571428571429,0.7678571428571429,0.2321428571428571
"(6.8, 10.0]","(4.5, 5.0]","(6.1, 7.4]","(6.78, 7.27]",61,0.7704918032786885,0.7704918032786885,0.2295081967213115
"(6.2, 6.8]","(4.5, 5.0]","(4.7, 6.1]","(6.78, 7.27]",53,0.7735849056603774,0.7735849056603774,0.2264150943396226
"(6.2, 6.8]","(4.5, 5.0]","(4.7, 6.1]","(7.92, 10.5]",71,0.7746478873239436,0.7746478873239436,0.22535211267605637
"(6.8, 10.0]","(3.7, 4.5]","(6.1, 7.4]","(7.92, 10.5]",84,0.7857142857142857,0.7857142857142857,0.2142857142857143
"(6.8, 10.0]","(3.7, 4.5]","(6.1, 7.4]","(6.78, 7.27]",71,0.7887323943661971,0.7887323943661971,0.21126760563380287
"(6.8, 10.0]","(3.7, 4.5]","(7.4, 8.5]","(7.27, 7.92]",69,0.7971014492753623,0.7971014492753623,0.2028985507246377
"(6.8, 10.0]","(0.999, 3.7]","(6.1, 7.4]","(7.27, 7.92]",90,0.8,0.8,0.19999999999999996
"(6.8, 10.0]","(3.7, 4.5]","(7.4, 8.5]","(7.92, 10.5]",55,0.8,0.8,0.19999999999999996
"(6.8, 10.0]","(4.5, 5.0]","(2.8, 4.7]","(6.78, 7.27]",51,0.803921568627451,0.803921568627451,0.196078431372549
"(4.0, 4.5]","(5.8, 6.2]","(9.7, 11.1]","(4.98, 5.53]",57,0.19298245614035087,0.8070175438596492,0.1929824561403508
