threshold,accuracy,balanced_accuracy,precision,recall,f1
0.49000000000000005,0.74265,0.7284655886578622,0.6722907203114861,0.6639323250448603,0.6680853807957696
0.5,0.74245,0.7249527355584071,0.6786628925731231,0.6453473468341451,0.6615859667564549
0.51,0.7411,0.7205432965653994,0.6832402234636872,0.6270187131504742,0.6539232722898008
0.52,0.73925,0.7155853794766931,0.6874909407160458,0.6079210458856703,0.6452622270593837
0.53,0.73915,0.712131411224326,0.6955666515357846,0.5892078954114329,0.6379848726667129
0.54,0.7394,0.7094493871709799,0.7038086244885112,0.5731863624711613,0.6318168974286522
0.55,0.73855,0.7053574682188897,0.7116998519006088,0.5543450397334017,0.6232437495496794
0.56,0.7376,0.7013452392525803,0.719566712517194,0.5364009228402974,0.6146276986341607
0.5700000000000001,0.735,0.6956569882422385,0.725,0.5166623942578826,0.6033527914982787
0.5800000000000001,0.73365,0.6912475492492308,0.733446519524618,0.49833376057421175,0.5934518812485691
0.5900000000000001,0.7308,0.685839358522514,0.7374312647289867,0.4812868495257626,0.5824414456336281
0.6000000000000001,0.7293,0.6819305352985657,0.7441717791411043,0.4664188669571905,0.573432083202017
0.6100000000000001,0.72905,0.6793698115083856,0.753997015561714,0.4533452960779287,0.5662370927719523
0.6200000000000001,0.7259,0.673507816574668,0.7595078299776287,0.43514483465778003,0.5532920469361148
0.6300000000000001,0.7226,0.6675921380785358,0.7646782527007985,0.4173288900281979,0.5399668325041459
0.6400000000000001,0.72035,0.6626065438507807,0.7740014884644009,0.39989746218918226,0.5273387982760078
0.6500000000000001,0.7172,0.6567907405280193,0.7813319349764027,0.38195334529607794,0.5130853994490359
0.6600000000000001,0.7146,0.651980130125845,0.7881122729774354,0.36708536272750575,0.5008744316194473
0.6700000000000002,0.7119,0.6469489642382362,0.7961672473867596,0.35144834657780055,0.4876400497954828
0.6800000000000002,0.70885,0.6417925367049931,0.8021374045801527,0.3367085362727506,0.4743161505822876
0.6900000000000002,0.70465,0.6352776071686353,0.8063368897510508,0.31966162522430147,0.4578246902248738
0.7000000000000002,0.70215,0.6304796900025929,0.8175559380378657,0.3044091258651628,0.44363500513682635
0.7100000000000002,0.69795,0.6237568982169324,0.8255083179297596,0.2862086644450141,0.42504996668887407
0.7200000000000002,0.69355,0.6169394325425741,0.8326043737574552,0.26839271981543195,0.4059319569642338
0.7300000000000002,0.6893,0.6102218420415868,0.8422413793103448,0.2504486029223276,0.3860897055917803
0.7400000000000002,0.686,0.6049066544878848,0.8523148148148149,0.23596513714432196,0.36960449708893794
0.7500000000000002,0.68275,0.6001405649809839,0.8565834557023985,0.22430146116380414,0.35551041137633316
0.76,0.679,0.5948029015729064,0.8595213319458896,0.2117405793386311,0.3397778691896339
0.77,0.67565,0.5896776817477023,0.8687605159842962,0.19853883619584722,0.32321335419926966
0.78,0.67175,0.5839168018895605,0.8773642464917633,0.18431171494488593,0.30462874695477177
0.79,0.66725,0.5775023674776761,0.884125920964501,0.16918738784926943,0.28402366863905326
0.8,0.66345,0.5723084801871403,0.8855291576673866,0.15765188413227377,0.26765313894026765
